varsta,gen,educatie,venit_anual,vechime,tip_locuinta,valoare_credit,rata_dobanzii,procent_credit_din_venit,ani_istoric_credit,istoric_neplata,status_credit
21,feminin,Liceu,15307,0,Proprietate,3000,13.61,0.2,3,0,1
23,feminin,Postliceala,79183,0,Inchiriat,28000,7.9,0.35,2,0,1
26,masculin,Licenta,102654,4,Inchiriat,28000,7.49,0.27,3,0,1
26,masculin,Postliceala,15229,1,Proprietate,6100,7.51,0.4,3,0,1
22,masculin,Liceu,106566,0,Inchiriat,28000,9.91,0.26,3,0,1
21,feminin,Licenta,15252,0,Proprietate,4200,13.48,0.28,4,0,1
22,masculin,Licenta,15432,3,Proprietate,4750,7.14,0.31,2,0,1
24,masculin,Liceu,100332,1,Inchiriat,28000,15.99,0.28,4,0,1
24,masculin,Licenta,300951,2,Inchiriat,18000,12.98,0.06,3,0,0
144,masculin,Licenta,300616,125,Inchiriat,4800,13.57,0.02,3,0,0
25,feminin,Licenta,121062,1,Inchiriat,28000,12.69,0.23,3,0,0
26,masculin,Postliceala,133372,1,Inchiriat,28000,8.9,0.21,2,1,0
26,masculin,Licenta,15505,0,Proprietate,2700,11.01,0.17,4,0,1
22,masculin,Master,130852,0,Inchiriat,28000,11.01,0.21,4,0,1
23,masculin,Postliceala,182316,0,Inchiriat,28000,11.11,0.15,2,1,0
24,feminin,Licenta,83853,3,Inchiriat,27600,11.01,0.33,2,0,1
21,feminin,Licenta,15394,0,Ipotecata,3250,15.68,0.21,3,0,1
22,feminin,Licenta,85243,0,Inchiriat,27500,13.06,0.32,3,0,1
22,masculin,Postliceala,288907,2,Proprietate,25000,11.01,0.09,2,1,0
26,masculin,Postliceala,89074,4,Inchiriat,27050,15.62,0.3,2,0,1
24,masculin,Master,100509,2,Inchiriat,27000,13.49,0.27,2,0,1
24,masculin,Liceu,88950,3,Inchiriat,27000,11.01,0.3,3,0,1
23,feminin,Liceu,75894,1,Inchiriat,26000,11.71,0.34,2,0,1
23,masculin,Postliceala,145092,0,Inchiriat,25600,12.69,0.18,3,1,0
24,feminin,Licenta,15928,1,Proprietate,1600,13.57,0.1,3,1,0
22,masculin,Licenta,73131,3,Inchiriat,25475,10.99,0.35,3,0,1
25,masculin,Master,281501,4,Ipotecata,20000,14.27,0.07,4,1,0
24,feminin,Postliceala,281775,0,Proprietate,20000,8.88,0.07,4,1,0
26,masculin,Licenta,281792,1,Ipotecata,21600,12.18,0.08,3,1,0
25,masculin,Licenta,266090,4,Ipotecata,11900,14.42,0.04,3,0,1
26,masculin,Liceu,279664,3,Ipotecata,25000,14.17,0.09,2,1,0
25,feminin,Liceu,277017,4,Ipotecata,35000,13.99,0.13,4,1,0
23,masculin,Postliceala,100756,0,Inchiriat,25300,10.99,0.25,3,0,1
22,masculin,Liceu,16218,1,Ipotecata,2000,5.42,0.12,4,0,1
25,feminin,Licenta,16211,2,Proprietate,1750,13.61,0.11,3,1,0
21,feminin,Licenta,51922,3,Inchiriat,25000,12.73,0.48,3,0,1
24,masculin,Postliceala,50309,3,Inchiriat,25000,11.01,0.5,3,0,1
25,masculin,Liceu,16378,0,Proprietate,3000,12.87,0.18,4,0,1
24,masculin,Licenta,16572,0,Ipotecata,3650,9.91,0.22,3,0,1
26,masculin,Master,272201,5,Ipotecata,20000,11.49,0.07,4,1,0
25,feminin,Licenta,271324,3,Ipotecata,30000,19.91,0.11,2,1,0
26,masculin,Postliceala,256862,2,Ipotecata,35000,10.65,0.14,2,0,1
24,masculin,Liceu,271342,0,Inchiriat,6000,11.01,0.02,4,1,0
24,masculin,Liceu,16470,2,Ipotecata,4500,11.83,0.27,4,0,1
23,masculin,Liceu,16599,0,Proprietate,2400,13.49,0.14,2,0,1
22,masculin,Licenta,51608,0,Inchiriat,25000,14.59,0.48,2,0,1
26,feminin,Master,58516,6,Inchiriat,25000,9.64,0.43,4,0,1
25,feminin,Postliceala,16395,4,Proprietate,3600,14.59,0.22,3,0,1
22,feminin,Licenta,16890,0,Proprietate,4750,11.01,0.28,3,0,1
25,feminin,Postliceala,51747,3,Inchiriat,25000,16.35,0.48,3,0,1
21,masculin,Liceu,59864,0,Inchiriat,25000,10.99,0.42,2,0,1
25,masculin,Master,270972,1,Ipotecata,25000,18.67,0.09,2,1,0
26,masculin,Licenta,270870,5,Inchiriat,3000,9.32,0.01,4,0,0
23,feminin,Postliceala,270729,0,Inchiriat,7500,8.63,0.03,2,0,0
26,masculin,Licenta,270877,4,Ipotecata,25000,10.08,0.09,2,1,0
22,masculin,Postliceala,60501,0,Inchiriat,25000,11.83,0.41,3,0,1
23,masculin,Liceu,60754,1,Inchiriat,25000,7.9,0.41,3,0,1
25,masculin,Licenta,60829,0,Inchiriat,25000,5.99,0.41,2,0,1
24,masculin,Licenta,53825,2,Inchiriat,25000,15.33,0.46,2,0,1
23,masculin,Liceu,60801,0,Inchiriat,25000,11.83,0.41,4,0,1
22,masculin,Liceu,60747,0,Inchiriat,25000,10.36,0.41,2,0,1
22,feminin,Liceu,61029,0,Inchiriat,25000,12.23,0.41,3,0,1
22,feminin,Postliceala,63236,0,Inchiriat,25000,11.11,0.4,4,0,1
23,feminin,Licenta,17149,0,Proprietate,4950,7.9,0.29,4,0,1
24,feminin,Master,265066,4,Ipotecata,25000,11.58,0.09,2,1,0
23,masculin,Postliceala,260205,2,Ipotecata,21000,8.9,0.08,3,0,0
25,feminin,Postliceala,260035,5,Ipotecata,25000,16.07,0.1,3,1,0
26,feminin,Licenta,260444,4,Ipotecata,20000,14.22,0.08,2,0,0
23,masculin,Licenta,258980,0,Ipotecata,35000,14.79,0.14,3,1,0
26,masculin,Liceu,259081,2,Ipotecata,12000,7.88,0.05,2,1,0
23,masculin,Liceu,63497,0,Inchiriat,25000,13.22,0.39,2,0,1
26,feminin,Doctorat,56325,2,Inchiriat,25000,11.86,0.44,4,0,1
22,masculin,Licenta,64842,0,Inchiriat,25000,13.43,0.39,4,0,1
26,feminin,Liceu,57856,0,Inchiriat,25000,15.28,0.43,2,0,1
23,masculin,Postliceala,57318,0,Inchiriat,25000,17.93,0.44,2,0,1
23,feminin,Liceu,16916,2,Ipotecata,1400,9.25,0.08,4,0,0
21,masculin,Master,16664,0,Proprietate,4500,12.98,0.27,4,0,1
22,masculin,Postliceala,252803,0,Ipotecata,16000,10.62,0.06,4,1,0
26,feminin,Postliceala,253061,3,Proprietate,22000,11.83,0.09,4,1,0
26,masculin,Licenta,58602,8,Inchiriat,25000,18.43,0.43,2,0,1
22,masculin,Liceu,67012,2,Inchiriat,25000,11.01,0.37,4,0,1
24,feminin,Master,66643,3,Inchiriat,25000,11.01,0.38,4,0,1
23,masculin,Licenta,66599,0,Inchiriat,25000,11.36,0.38,3,0,1
23,masculin,Postliceala,67212,2,Inchiriat,25000,15.65,0.37,3,0,1
24,feminin,Liceu,66918,1,Inchiriat,25000,13.22,0.37,4,0,1
26,masculin,Postliceala,68066,2,Inchiriat,25000,12.87,0.37,2,0,1
24,masculin,Postliceala,245545,1,Proprietate,20000,13.04,0.08,3,1,0
23,masculin,Postliceala,229083,0,Ipotecata,22000,17.58,0.1,3,0,1
23,masculin,Liceu,17859,0,Proprietate,7750,17.04,0.43,4,0,1
24,feminin,Postliceala,72608,3,Inchiriat,25000,10.99,0.34,3,0,1
24,masculin,Licenta,73073,1,Inchiriat,25000,11.11,0.34,3,0,1
26,feminin,Master,65880,2,Inchiriat,25000,14.83,0.38,2,0,1
23,masculin,Liceu,17755,1,Proprietate,4000,11.01,0.23,3,0,1
24,masculin,Licenta,241180,3,Inchiriat,12000,12.69,0.05,2,0,0
24,masculin,Postliceala,240894,3,Ipotecata,12000,13.49,0.05,2,0,0
21,masculin,Liceu,240980,0,Ipotecata,16000,14.65,0.07,4,1,0
25,masculin,Licenta,65742,3,Inchiriat,25000,16.82,0.38,4,0,1
23,masculin,Licenta,72713,0,Inchiriat,25000,12.73,0.34,3,0,1
23,masculin,Liceu,72627,3,Inchiriat,25000,10.25,0.34,4,0,1
21,masculin,Postliceala,72843,0,Inchiriat,25000,10.99,0.34,4,0,1
25,masculin,Liceu,75504,4,Inchiriat,25000,12.73,0.33,2,0,1
22,feminin,Liceu,68824,0,Inchiriat,25000,14.96,0.36,3,0,1
23,feminin,Licenta,241167,2,Ipotecata,28000,11.01,0.12,2,1,0
21,masculin,Licenta,241060,0,Ipotecata,25000,13.99,0.1,2,0,0
24,masculin,Liceu,240855,0,Ipotecata,24000,7.49,0.1,4,1,0
26,masculin,Liceu,241030,3,Ipotecata,15000,14.79,0.06,3,1,0
25,masculin,Liceu,240895,2,Ipotecata,15500,11.99,0.06,2,0,0
24,feminin,Liceu,240932,4,Inchiriat,10000,8.49,0.04,4,1,0
24,masculin,Postliceala,80145,1,Inchiriat,25000,9.91,0.31,2,0,1
22,masculin,Master,80303,0,Inchiriat,25000,13.06,0.31,3,0,1
22,masculin,Liceu,241048,0,Ipotecata,9000,6.17,0.04,4,1,0
144,masculin,Postliceala,241424,121,Ipotecata,6000,11.86,0.02,2,0,0
25,masculin,Licenta,241005,4,Inchiriat,18000,16.32,0.07,3,1,0
25,feminin,Master,240768,2,Ipotecata,12000,10.38,0.05,2,1,0
25,masculin,Postliceala,241201,2,Ipotecata,23050,14.35,0.1,3,0,0
24,masculin,Licenta,240920,5,Ipotecata,20000,11.01,0.08,3,0,0
24,feminin,Master,72919,1,Inchiriat,25000,11.01,0.34,2,0,1
21,masculin,Master,18008,0,Proprietate,3000,11.01,0.17,4,0,1
26,feminin,Postliceala,81238,3,Inchiriat,25000,15.21,0.31,2,0,1
23,masculin,Liceu,80868,1,Inchiriat,25000,7.9,0.31,4,0,1
24,masculin,Licenta,81537,1,Inchiriat,25000,10.99,0.31,3,0,1
24,feminin,Postliceala,82741,0,Inchiriat,25000,14.09,0.3,3,0,1
25,feminin,Liceu,83901,3,Inchiriat,25000,17.49,0.3,2,0,1
25,masculin,Postliceala,240717,1,Ipotecata,12000,11.48,0.05,3,0,0
26,feminin,Postliceala,226744,0,Ipotecata,20000,17.74,0.09,2,0,1
26,feminin,Licenta,241114,5,Ipotecata,3000,13.92,0.01,3,1,0
25,masculin,Licenta,85284,3,Inchiriat,25000,15.21,0.29,3,0,1
22,feminin,Licenta,18152,0,Proprietate,4000,10.99,0.22,3,0,1
24,feminin,Liceu,84871,3,Inchiriat,25000,11.86,0.29,4,0,1
24,masculin,Licenta,18294,2,Proprietate,6000,7.49,0.33,3,0,1
24,masculin,Licenta,68029,1,Inchiriat,25000,16.49,0.37,4,0,1
25,feminin,Liceu,80001,4,Inchiriat,25000,15.33,0.31,2,0,1
26,feminin,Liceu,79875,6,Inchiriat,25000,11.58,0.31,4,0,1
25,masculin,Liceu,18449,1,Proprietate,5375,5.79,0.29,2,0,1
25,masculin,Postliceala,88153,0,Inchiriat,25000,13.11,0.28,2,0,1
23,feminin,Licenta,90109,0,Inchiriat,25000,10.36,0.28,3,0,1
25,masculin,Licenta,90938,1,Inchiriat,25000,10.36,0.27,2,0,1
24,masculin,Liceu,231335,0,Inchiriat,22000,11.01,0.1,2,1,0
21,masculin,Licenta,231829,0,Ipotecata,20000,6.54,0.09,4,0,0
25,feminin,Postliceala,230516,4,Ipotecata,10000,12.53,0.04,4,0,0
26,masculin,Licenta,229626,0,Ipotecata,15000,11.01,0.07,3,0,0
22,masculin,Licenta,228907,0,Ipotecata,10000,11.01,0.04,3,1,0
24,masculin,Licenta,90938,0,Inchiriat,25000,10.25,0.27,4,0,1
22,masculin,Postliceala,86284,0,Inchiriat,25000,15.95,0.29,4,0,1
26,masculin,Postliceala,228774,3,Ipotecata,20000,12.18,0.09,4,1,0
23,masculin,Liceu,229027,2,Proprietate,24000,11.83,0.1,3,1,0
23,masculin,Liceu,94789,1,Inchiriat,25000,11.01,0.26,2,0,1
23,feminin,Master,94780,0,Inchiriat,25000,10.62,0.26,3,0,1
23,masculin,Liceu,95298,0,Inchiriat,25000,10.74,0.26,3,0,1
25,masculin,Postliceala,223944,1,Proprietate,10000,10.25,0.04,4,1,0
24,masculin,Liceu,222629,0,Ipotecata,35000,12.42,0.16,2,0,0
25,feminin,Licenta,222973,2,Inchiriat,15000,15.27,0.07,2,1,0
24,feminin,Liceu,75240,1,Inchiriat,25000,15.33,0.33,2,0,1
23,feminin,Liceu,96143,1,Inchiriat,25000,15.21,0.26,2,0,1
21,masculin,Licenta,18064,0,Proprietate,6250,14.72,0.35,2,0,1
24,masculin,Postliceala,96627,2,Inchiriat,25000,15.7,0.26,2,0,1
24,masculin,Licenta,96309,3,Inchiriat,25000,13.35,0.26,4,0,1
21,feminin,Liceu,18421,1,Ipotecata,1500,11.01,0.08,4,0,0
24,masculin,Master,96836,1,Inchiriat,25000,6.62,0.26,2,0,1
26,masculin,Licenta,96947,4,Inchiriat,25000,13.61,0.26,4,0,1
22,feminin,Postliceala,222975,2,Inchiriat,25000,11.36,0.11,2,1,0
26,masculin,Postliceala,222985,3,Proprietate,5000,7.68,0.02,2,1,0
24,feminin,Licenta,223064,0,Inchiriat,22000,14.46,0.1,4,1,0
23,masculin,Postliceala,221559,2,Proprietate,2500,11.83,0.01,2,1,0
24,feminin,Postliceala,207712,0,Ipotecata,20000,13.47,0.1,4,0,1
24,feminin,Licenta,220872,1,Ipotecata,20000,11.49,0.09,3,1,0
22,masculin,Liceu,220518,0,Ipotecata,1000,11.01,0,2,1,0
25,feminin,Postliceala,220510,1,Ipotecata,15000,6.03,0.07,3,1,0
23,feminin,Licenta,89818,0,Inchiriat,25000,16.35,0.28,4,0,1
26,feminin,Liceu,90006,4,Inchiriat,25000,11.01,0.28,4,0,1
25,feminin,Liceu,98704,6,Inchiriat,25000,7.29,0.25,3,0,1
23,masculin,Liceu,98967,5,Inchiriat,25000,11.36,0.25,3,0,1
24,masculin,Liceu,99435,3,Inchiriat,25000,10.25,0.25,2,0,0
24,feminin,Licenta,100658,1,Inchiriat,25000,11.12,0.25,3,0,0
24,feminin,Licenta,100435,2,Inchiriat,25000,12.92,0.25,3,1,0
24,masculin,Liceu,216925,5,Inchiriat,18000,18.64,0.08,4,1,0
23,feminin,Licenta,216891,0,Ipotecata,28000,7.51,0.13,3,1,0
23,masculin,Master,18512,1,Proprietate,4000,16.7,0.22,2,0,1
22,masculin,Master,18367,0,Proprietate,2100,11.14,0.11,4,0,0
22,feminin,Postliceala,102317,0,Inchiriat,25000,18.3,0.24,4,1,0
24,feminin,Postliceala,103400,4,Inchiriat,25000,10.62,0.24,4,1,0
24,masculin,Licenta,217134,2,Ipotecata,14000,11.99,0.06,2,1,0
26,masculin,Master,217024,1,Ipotecata,12000,9.63,0.06,4,1,0
25,feminin,Liceu,172215,5,Ipotecata,10000,18.25,0.06,4,0,1
23,masculin,Master,18831,0,Ipotecata,6000,11.01,0.32,4,0,1
24,masculin,Postliceala,105349,5,Inchiriat,25000,14.84,0.24,3,1,0
24,masculin,Licenta,91184,1,Inchiriat,25000,14.7,0.27,3,0,1
23,feminin,Liceu,91886,1,Inchiriat,25000,16.02,0.27,4,0,1
23,masculin,Postliceala,80452,2,Inchiriat,25000,15.37,0.31,2,0,1
25,feminin,Licenta,108758,2,Inchiriat,25000,10.99,0.23,4,0,0
21,masculin,Postliceala,18916,0,Proprietate,6200,7.9,0.33,2,0,1
26,feminin,Liceu,217234,5,Proprietate,25000,10.99,0.12,4,1,0
24,feminin,Liceu,217017,0,Proprietate,21000,11.48,0.1,3,1,0
25,masculin,Liceu,216874,1,Proprietate,20000,14.26,0.09,4,1,0
26,masculin,Postliceala,216833,5,Proprietate,10000,8,0.05,4,1,0
25,masculin,Licenta,216483,0,Ipotecata,9950,11.26,0.05,2,0,0
23,feminin,Master,19000,2,Proprietate,4475,11.01,0.24,4,0,1
23,feminin,Master,94363,0,Inchiriat,25000,16.32,0.26,3,0,1
25,masculin,Master,80570,3,Inchiriat,25000,17.93,0.31,4,0,1
23,masculin,Licenta,109167,0,Inchiriat,25000,11.36,0.23,3,0,0
24,feminin,Postliceala,95753,1,Inchiriat,25000,14.96,0.26,4,0,1
24,feminin,Postliceala,110935,1,Inchiriat,25000,13.43,0.23,3,1,0
25,masculin,Postliceala,111490,2,Inchiriat,25000,12.69,0.22,3,1,0
24,masculin,Postliceala,111729,4,Inchiriat,25000,12.73,0.22,4,1,0
23,feminin,Liceu,113396,0,Inchiriat,25000,15.21,0.22,4,0,0
23,feminin,Licenta,19175,1,Ipotecata,1750,12.68,0.09,3,1,0
23,feminin,Liceu,85787,0,Inchiriat,25000,19.04,0.29,4,0,1
25,feminin,Master,102114,7,Inchiriat,25000,15.95,0.24,3,0,1
26,masculin,Licenta,211005,5,Ipotecata,2600,8.9,0.01,4,0,0
25,masculin,Master,210903,4,Ipotecata,8000,7.9,0.04,2,1,0
22,masculin,Postliceala,210555,0,Ipotecata,18000,11.01,0.09,2,0,0
23,masculin,Licenta,210937,0,Ipotecata,21000,11.99,0.1,3,1,0
23,masculin,Liceu,19062,2,Proprietate,4000,13.98,0.21,4,0,1
23,feminin,Postliceala,18926,0,Proprietate,4600,10.99,0.24,2,0,1
22,masculin,Postliceala,106694,0,Inchiriat,25000,15.58,0.23,2,0,1
25,masculin,Master,90718,4,Inchiriat,25000,10.99,0.28,2,0,1
25,masculin,Licenta,106668,1,Inchiriat,25000,14.96,0.23,4,0,1
25,masculin,Liceu,19158,4,Proprietate,1750,15.31,0.09,4,1,0
26,masculin,Liceu,106419,5,Inchiriat,25000,15.65,0.23,3,0,1
25,feminin,Liceu,120696,3,Inchiriat,25000,9.33,0.21,4,1,0
23,masculin,Liceu,19065,3,Ipotecata,3600,13.47,0.19,4,0,1
24,feminin,Postliceala,124083,0,Inchiriat,25000,10.36,0.2,3,1,0
24,masculin,Postliceala,111673,4,Inchiriat,25000,16.77,0.22,4,0,1
23,masculin,Liceu,112633,1,Inchiriat,25000,14.59,0.22,2,0,1
22,masculin,Liceu,210938,0,Inchiriat,3500,11.91,0.02,2,0,0
23,feminin,Postliceala,210720,2,Ipotecata,7200,8.38,0.03,3,1,0
25,masculin,Liceu,210705,7,Inchiriat,9000,10.59,0.04,3,1,0
25,masculin,Liceu,209997,3,Ipotecata,8800,14.27,0.04,3,1,0
26,feminin,Master,209873,3,Inchiriat,12000,12.53,0.06,4,0,0
25,feminin,Postliceala,195268,1,Ipotecata,25000,16,0.13,3,0,1
26,masculin,Master,209393,2,Ipotecata,10000,11.71,0.05,4,1,0
21,masculin,Master,18773,0,Proprietate,3175,11.54,0.17,3,0,1
25,feminin,Licenta,116439,2,Inchiriat,25000,15.68,0.21,4,0,1
21,feminin,Postliceala,19169,2,Ipotecata,1500,10.59,0.08,2,1,0
24,feminin,Liceu,118417,0,Inchiriat,25000,12.61,0.21,2,0,1
26,feminin,Liceu,133476,0,Inchiriat,25000,11.01,0.19,2,1,0
23,feminin,Postliceala,19312,4,Ipotecata,2800,8.49,0.14,3,0,1
25,masculin,Liceu,192351,1,Inchiriat,30000,17.27,0.16,4,0,1
24,masculin,Licenta,206648,4,Inchiriat,18000,8.9,0.09,4,1,0
25,feminin,Liceu,205046,6,Ipotecata,10000,11.11,0.05,4,1,0
24,masculin,Liceu,190735,1,Inchiriat,25000,14.59,0.13,2,0,1
26,feminin,Postliceala,204872,3,Inchiriat,13000,12.42,0.06,3,0,0
24,masculin,Postliceala,100758,0,Inchiriat,25000,11.01,0.25,2,0,1
24,feminin,Master,133231,3,Inchiriat,25000,15.7,0.19,2,1,0
22,feminin,Master,18923,0,Proprietate,2500,12.53,0.13,3,0,1
25,feminin,Master,161894,0,Inchiriat,5000,16.49,0.03,2,0,1
25,feminin,Licenta,205144,0,Ipotecata,20000,7.49,0.1,2,1,0
22,feminin,Liceu,121617,2,Inchiriat,25000,14.96,0.21,2,0,1
25,masculin,Postliceala,136206,6,Inchiriat,25000,12.73,0.18,4,0,0
24,masculin,Master,144915,4,Inchiriat,25000,10.65,0.17,4,1,0
25,feminin,Liceu,145233,3,Inchiriat,25000,10.74,0.17,2,0,0
23,masculin,Licenta,145002,1,Inchiriat,25000,9.99,0.17,2,1,0
24,masculin,Master,110953,0,Inchiriat,25000,15.33,0.23,2,0,1
21,feminin,Liceu,19414,2,Proprietate,1000,7.29,0.05,4,1,0
26,masculin,Liceu,130096,1,Inchiriat,25000,15.05,0.19,3,0,1
26,masculin,Master,157292,0,Inchiriat,25000,10.75,0.16,3,1,0
23,feminin,Licenta,156995,3,Inchiriat,25000,16.02,0.16,2,1,0
23,feminin,Postliceala,156952,0,Inchiriat,25000,11.49,0.16,4,1,0
25,feminin,Postliceala,205005,6,Proprietate,20000,12.53,0.1,4,0,0
26,feminin,Licenta,205060,2,Ipotecata,12000,13.57,0.06,2,0,0
22,masculin,Liceu,203782,4,Inchiriat,14000,11.14,0.07,3,1,0
26,masculin,Liceu,203368,3,Inchiriat,24250,12.87,0.12,3,1,0
23,feminin,Postliceala,203403,0,Inchiriat,20000,11.58,0.1,3,0,0
24,feminin,Postliceala,202715,3,Inchiriat,1800,11.12,0.01,3,1,0
25,feminin,Master,202525,1,Ipotecata,35000,10.65,0.17,2,1,0
24,masculin,Postliceala,161487,1,Inchiriat,25000,10.37,0.15,2,0,0
24,masculin,Postliceala,19677,3,Proprietate,3300,6.39,0.17,4,0,1
24,masculin,Liceu,161952,2,Inchiriat,25000,16.07,0.15,3,1,0
25,feminin,Licenta,161560,0,Inchiriat,25000,10.62,0.15,2,1,0
25,masculin,Liceu,19423,3,Proprietate,3200,18.09,0.16,2,0,1
25,masculin,Postliceala,163134,5,Inchiriat,25000,11.36,0.15,4,1,0
26,feminin,Licenta,163683,5,Inchiriat,25000,12.53,0.15,4,1,0
25,feminin,Licenta,174972,3,Inchiriat,25000,9.99,0.14,4,1,0
23,masculin,Liceu,181016,4,Inchiriat,25000,10.36,0.14,3,0,0
23,feminin,Master,198920,0,Ipotecata,9600,5.99,0.05,3,1,0
22,feminin,Master,184800,1,Ipotecata,24000,15.62,0.13,2,0,1
